Timestamp,"I declare that I have read, understood, and wish to participate in the survey conducted by the ISCB Regional Student Group - Brazil.",Race/Color?,Which of the following terms do you think best describes your gender?,In which state of Brazil do you currently work/study/live?,What is your academic level?,"According to your experience, which of the options best describes you?","Among these options, which one best describes your professional profile?","Among these options, which one best describes your professional profile?","If others, which one?","Among these options, which one best describes your professional profile?","Taking into account your needs, which aspects of Bioinformatics would you most like to see in a course? [Biology knowledge]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Statistical methods and Data Science]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Computational and programming skills]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Ethical implications and societal repercussions of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Applications of Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Communication in Bioinformatics]","Considering your needs, which aspects of Bioinformatics would you most like to see in a course? [Continuing Development in Bioinformatics]","Among the topics below, which one(s) would you like to deepen your knowledge and develop skills in Bioinformatics?","Considering your experience in the field, at what level of learning would you like to receive courses and training offered in Computational Biology?"
06/11/2023 09:53:59,Yes,I am brown-skinned,Woman/Female (Cisgender/Transgender),Rio Grande do Norte (RN),Master / Master Student,Developer,,,,Bioinformatics software developer/engineer,6,7,2,2,4,5,3,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Metabolomics and Systems Biology, Molecular Basis of Cancer, Career Mentoring in Bioinformatics",Intermediate
06/11/2023 09:54:57,Yes,I am white,Man/Male (Cisgender/Transgender),Rio Grande do Norte (RN),Bachelor / Undergraduate Student,User,Academic,,,,7,5,5,6,5,4,5,Phylogeny and Evolution,Basic
06/11/2023 10:25:05,Yes,I am white,Woman/Female (Cisgender/Transgender),São Paulo (SP),Bachelor / Undergraduate Student,User,Academic,,,,2,4,5,3,5,2,4,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome, Epigenomics, Metabolomics and Systems Biology, Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Molecular Basis of Cancer, Personalized Medicine, Didactics and Communication in Bioinformatics","Basic, Intermediate"
06/11/2023 10:47:16,Yes,I am white,Man/Male (Cisgender/Transgender),Rio de Janeiro (RJ),Master / Master Student,Scientist,,Academic in the field of computational biology and related areas,,,1,3,7,2,2,2,7,"DNA and Genomics, Phylogeny and Evolution, Epigenomics,  Artificial Intelligence and Data Science in Bioinformatics",Advanced
06/11/2023 11:04:26,Yes,I am white,Woman/Female (Cisgender/Transgender),Pernambuco (PE),Bachelor / Undergraduate Student,User,Academic,,,,3,5,6,4,5,5,5,"DNA and Genomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,  Structural Biology and Modeling",Basic
06/11/2023 11:18:09,Yes,I am white,Woman/Female (Cisgender/Transgender),Rio de Janeiro (RJ),Master / Master Student,User,Academic,,,,5,7,7,2,5,5,5,"DNA and Genomics, Phylogeny and Evolution, Metagenomics and Microbiome","Basic, Intermediate"
06/11/2023 13:02:49,Yes,I am white,Man/Male (Cisgender/Transgender),Paraná (PR),PhD / PhD Student,Scientist,,Academic in the field of computational biology and related areas,,,4,4,4,4,3,3,4,"DNA and Genomics, Phylogeny and Evolution,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development,Career Mentoring in Bioinformatics","Intermediate, Advanced"
06/11/2023 13:10:08,Yes,I am white,Woman / Female (Cisgender),São Paulo (SP),PhD / PhD Student,User,Academic,,,,5,5,4,4,4,4,3,"DNA and Genomics, RNA and Transcriptomics, Epigenomics, Proteins and Proteomics, Personalized Medicine, Didactics and Communication in Bioinformatics",Intermediate
06/11/2023 13:12:06,Yes,I am brown-skinned,Man / Male (Cisgender),Bahia (BA),Posdoc,User,Professor,,,,5,3,4,4,5,5,5,"Phylogeny and Evolution, Metagenomics and Microbiome,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development","Intermediate, Advanced"
06/11/2023 13:12:17,Yes,I am black,Man / Male (Cisgender),Pará (PA),Professor / PI,Scientist,,Educator in computational biology and related fields.,,,4,6,6,6,6,6,6,"DNA and Genomics, Proteins and Proteomics,  Artificial Intelligence and Data Science in Bioinformatics, Database and Software Development, Personalized Medicine, Didactics and Communication in Bioinformatics,Career Mentoring in Bioinformatics",Advanced
